Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Oklahoma City Thunder,25.1,18,1,17,2,16.47,-4.02,12.46,120.4,104.2,16.2,99.2,0.28,0.427,0.607,,0.563,11.4,23.2,0.236,,0.504,15.8,76,0.213,,Paycom Center,163827,18203
2,Houston Rockets,26.3,12,4,13,3,10.69,1.18,11.87,123.6,112.7,10.9,96.1,0.289,0.337,0.586,,0.548,13,38.5,0.226,,0.532,12.9,73.5,0.196,,Toyota Center,126438,18063
3,Denver Nuggets,28.3,13,4,13,4,10,-2.15,7.85,124.3,114.3,10,99,0.294,0.382,0.621,,0.579,12.2,28.4,0.245,,0.522,11.2,74.7,0.208,,Ball Arena,158840,19855
4,Toronto Raptors,25,14,5,13,6,6.68,-2.14,4.54,118.2,111.6,6.6,100.8,0.293,0.364,0.6,,0.563,12.4,23.7,0.228,,0.529,14.4,74.7,0.251,,Scotiabank Arena,164438,18271
5,New York Knicks,28.6,11,6,12,5,6.53,-0.55,5.98,121.2,114.6,6.6,99.7,0.253,0.45,0.59,,0.555,11.6,29.7,0.203,,0.554,13.7,77.8,0.222,,Madison Square Garden (IV),178308,19812
6,San Antonio Spurs,25.7,12,5,12,5,6.47,-0.86,5.61,118.2,111.7,6.5,99.3,0.296,0.417,0.602,,0.563,13.8,27.9,0.236,,0.529,13.1,76.9,0.201,,Frost Bank Center,186417,18642
7,Detroit Pistons,26,15,3,12,6,6.44,-1.96,4.49,118.2,111.8,6.4,100.4,0.317,0.355,0.584,,0.547,12.9,30.9,0.236,,0.525,14.9,73.5,0.266,,Little Caesars Arena,173164,19097
8,Miami Heat,26.5,13,6,13,6,5.79,0.91,6.7,116.2,110.7,5.5,105.2,0.278,0.382,0.588,,0.55,12.1,23.1,0.22,,0.504,12.9,71.1,0.199,,Kaseya Center,196000,19600
9,Orlando Magic,24.7,11,8,12,7,5.32,0.85,6.17,118.9,113.6,5.3,100.1,0.352,0.378,0.597,,0.547,12.9,28.2,0.284,,0.541,13.4,76,0.223,,Kia Center,184109,18411
10,Boston Celtics,26.9,10,8,11,7,4.56,-0.23,4.33,119.6,114.9,4.7,96,0.206,0.466,0.571,,0.542,10.2,29,0.16,,0.515,13.3,70.8,0.265,,TD Garden,191560,19156
11,Minnesota Timberwolves,28.3,10,8,11,7,4.67,-2.36,2.31,117.6,112.9,4.7,100.5,0.311,0.418,0.597,,0.561,13.4,26.5,0.236,,0.526,13.5,72.9,0.24,,Target Center,135458,16932
12,Phoenix Suns,27.4,12,7,12,7,4.16,-2.1,2.06,117.3,113.1,4.2,99,0.245,0.445,0.588,,0.553,14.3,30.7,0.196,,0.534,15,71.4,0.23,,Mortgage Matchup Center,187781,17071
13,Cleveland Cavaliers,26.8,12,7,12,7,4,0.35,4.35,116.5,112.6,3.9,101.4,0.282,0.49,0.58,,0.546,12.4,25.9,0.213,,0.533,14.4,73.3,0.237,,Rocket Arena,213752,19432
14,Los Angeles Lakers,26.7,13,4,10,7,3.47,-1.07,2.4,118.4,114.9,3.5,99.9,0.348,0.392,0.62,,0.577,14.7,25.2,0.276,,0.556,14.4,74.8,0.211,,Crypto.com Arena,131973,18853
15,Atlanta Hawks,24.8,11,8,11,8,1.79,-0.89,0.9,115.9,114.1,1.8,101.1,0.254,0.413,0.597,,0.564,13.2,23.1,0.199,,0.539,14.3,72,0.22,,State Farm Arena,118429,16918
16,Golden State Warriors,29.5,10,10,10,10,0.6,0.53,1.13,114.3,113.7,0.6,100.2,0.28,0.506,0.588,,0.545,14.5,25.1,0.231,,0.537,14.2,72.6,0.21,,Chase Center,144512,18064
17,Philadelphia 76ers,25.3,9,8,8,9,-1,1.01,0.01,116,117,-1,100,0.285,0.405,0.58,,0.538,12.9,27.4,0.229,,0.545,11.9,73.5,0.201,,Xfinity Mobile Arena,188940,18894
18,Portland Trail Blazers,25.6,8,11,8,11,-2.63,2.17,-0.46,115.4,118,-2.6,102,0.295,0.45,0.562,,0.518,13.8,32.5,0.234,,0.554,13.9,71.2,0.248,,Moda Center,141893,17737
19,Milwaukee Bucks,27.6,8,11,8,11,-2.84,-0.15,-2.99,114.5,117.3,-2.8,100,0.228,0.427,0.597,,0.576,13,19.3,0.161,,0.551,12.9,74,0.253,,Fiserv Forum,188635,17149
20,Chicago Bulls,25.8,9,8,7,10,-2.94,0.7,-2.25,115.9,118.7,-2.8,103.4,0.274,0.429,0.594,,0.556,13.1,23.2,0.218,,0.538,10.3,73.3,0.218,,United Center,162125,20266
21,Memphis Grizzlies,25.6,7,12,7,12,-4.16,1.2,-2.96,111.9,116,-4.1,100.7,0.269,0.437,0.555,,0.511,12.2,25.7,0.22,,0.561,12.9,75.9,0.178,,FedExForum,152722,15272
22,Charlotte Hornets,24.2,4,14,6,12,-5.56,-0.62,-6.18,115.5,121.1,-5.6,99.2,0.279,0.455,0.579,,0.534,14,29.3,0.23,,0.585,11.8,77.2,0.185,,Spectrum Center,169018,18780
23,Dallas Mavericks,26.1,5,14,6,13,-5.95,-0.7,-6.65,105.4,111.1,-5.7,102.3,0.314,0.401,0.547,,0.505,14.4,22.3,0.236,,0.51,12.1,72.6,0.213,,American Airlines Center,248655,19127
24,Los Angeles Clippers,31.2,5,13,6,12,-6.06,1.25,-4.8,114.8,121,-6.2,96.6,0.281,0.435,0.596,,0.552,14.6,24.3,0.235,,0.563,12,72.4,0.214,,Intuit Dome,138399,17300
25,Utah Jazz,24.9,5,12,5,12,-7.47,0.26,-7.22,114,121.2,-7.2,101.7,0.297,0.447,0.572,,0.525,14.4,29.7,0.243,,0.573,12.1,75.4,0.219,,Delta Center,163674,18186
26,Brooklyn Nets,24.3,3,14,4,13,-10.47,2.1,-8.37,112,122.8,-10.8,97.5,0.31,0.48,0.565,,0.521,13.4,25,0.242,,0.583,12.4,72,0.223,,Barclays Center,140849,17606
27,New Orleans Pelicans,24.2,3,16,4,15,-11,1.57,-9.44,111.4,122.4,-11,99,0.275,0.376,0.552,,0.514,13.4,28.7,0.21,,0.593,14,72.2,0.218,,Smoothie King Center,185737,16885
28,Sacramento Kings,30,5,14,4,15,-11.42,3.51,-7.92,109.5,120.7,-11.2,101.4,0.259,0.352,0.565,,0.53,12.8,20.2,0.2,,0.574,12.8,73.4,0.219,,Golden 1 Center,149522,16614
29,Indiana Pacers,26,2,16,3,15,-11.78,0.88,-10.9,106.8,118.3,-11.5,101.5,0.31,0.405,0.527,,0.48,12.3,26.1,0.239,,0.541,12,73.1,0.27,,Gainbridge Fieldhouse,135165,16896
30,Washington Wizards,24.2,2,15,3,14,-14.12,1.43,-12.69,110.2,123.9,-13.7,102.2,0.239,0.402,0.572,,0.542,14.4,22.7,0.179,,0.555,10.6,69.1,0.235,,Capital One Arena,106436,15205
,League Average,26.4,,,9,9,0,0,0,115.6,115.6,,100.2,0.283,0.418,0.582,,0.543,13.1,26.5,0.223,,0.543,13.1,73.5,0.223,,,164226,18105
